[2026-06-04 09:32:10] [INFO    ] discord.client: logging in using static token
[2026-06-04 09:32:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-06-04 09:32:10] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-06-04 09:32:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1509685131458379796', 'username': 'WTCS Driver Stat Bot', 'avatar': 'fb359fd5fc5ea6af0e5bdc12f04db133', 'discriminator': '5714', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-06-04 09:32:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-06-04 09:32:11] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-06-04 09:32:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1509685131458379796', 'name': 'WTCS Driver Stat Bot', 'icon': '102ff56b3d031dbbec8a3c21f878776b', 'description': 'A bot developed for the WTCS Assetto Corsa racing league to store and display driver statistics, as a personal project', 'type': None, 'bot': {'id': '1509685131458379796', 'username': 'WTCS Driver Stat Bot', 'avatar': 'fb359fd5fc5ea6af0e5bdc12f04db133', 'discriminator': '5714', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '168f7fec8a4e92b526ccd0031c351f69f1b1f388b0c082f5d96cf5b43bb26250', 'flags': 565248, 'flags_new': '565248', 'tags': ['WTCS', 'Stats', 'Assetto corsa'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '178466203109425153', 'username': 'dynamite7000', 'avatar': 'b21e7d46a18ec949da4949d75cd4d982', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': '9c948dc5e9c81d748e623b03b9983b27', 'accent_color': 11010303, 'global_name': 'Dynamite', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#a800ff', 'clan': {'identity_guild_id': '1179368115969200148', 'identity_enabled': True, 'tag': 'ABI', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'primary_guild': {'identity_guild_id': '1179368115969200148', 'identity_enabled': True, 'tag': 'ABI', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2246, 'monetization_state': 1, 'verification_eligibility_flags': 123676, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 0, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-06-04 09:32:11] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-06-04 09:32:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-0snb",{"micros":0.0}]']}}
[2026-06-04 09:32:11] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-06-04 09:32:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:32:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'WTCS Driver Stat Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1509685131458379796', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5714', 'clan': None, 'bot': True, 'avatar': 'fb359fd5fc5ea6af0e5bdc12f04db133'}, 'session_type': 'normal', 'session_id': 'aa46af405052623b7294dba64a930cd3', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'paris', 'rotterdam', 'brussels', 'frankfurt'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1509685131458379796', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-d-0snb",{"micros":287559,"calls":["id_created",{"micros":736,"calls":[]},"session_lookup_time",{"micros":3459,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-d-37",{"micros":282937,"calls":["start_session",{"micros":226852,"calls":["prd-rpc-594887cc95-4j86z",{"micros":135280,"calls":["get_user",{"micros":41574},"get_guilds",{"micros":8749},"send_scheduled_deletion_message",{"micros":26},"guild_join_requests",{"micros":348},"authorized_ip_coro",{"micros":21},"pending_payments",{"micros":1912},"apex_experiments",{"micros":61266},"sessions_experiments",{"micros":20},"played_application_ids",{"micros":15},"linked_users",{"micros":14},"ad_personalization_toggles_disabled",{"micros":14},"regional_feature_config",{"micros":13}]}]},"starting_guild_connect",{"micros":37,"calls":[]},"presence_started",{"micros":40635,"calls":[]},"guilds_started",{"micros":1,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15367,"calls":[]},"connect_finished",{"micros":15398,"calls":[]},"build_ready",{"micros":9,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-06-04 09:32:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-04 09:32:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: aa46af405052623b7294dba64a930cd3).
[2026-06-04 09:32:11] [DEBUG   ] discord.client: Dispatching event connect
[2026-06-04 09:32:13] [DEBUG   ] discord.client: Dispatching event ready
[2026-06-04 09:32:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:32:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:33:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:33:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:34:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:34:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:34:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:34:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:35:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:35:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:36:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:36:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-04 09:37:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2026-06-04 09:37:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
